RK,School,Conference,Revenue,Expenses
103,Louisiana-Lafayette,Sun Belt,"$32,544,966 ","$37,104,736 "
104,Troy,Sun Belt,"$32,334,739 ","$32,334,739 "
105,New Hampshire,Am East,"$32,127,418 ","$32,206,158 "
106,Sacramento State,Big Sky,"$31,025,741 ","$30,566,334 "
107,Eastern Michigan,MAC,"$30,878,069 ","$30,878,069 "
108,Western Kentucky,C-USA,"$30,770,123 ","$30,770,123 "
109,George Mason,A-10,"$30,579,233 ","$30,579,233 "
110,North Dakota,Summit,"$30,499,909 ","$30,414,914 "
111,Wichita State,Mo. Valley,"$29,890,086 ","$30,163,207 "
112,William & Mary,CAA,"$29,505,573 ","$29,362,957 "
113,Georgia Southern,Sun Belt,"$29,483,912 ","$29,504,873 "
114,Kent State,MAC,"$29,460,111 ","$29,573,232 "
115,Illinois State,Mo. Valley,"$29,004,681 ","$26,742,643 "
116,Missouri State,Mo. Valley,"$28,767,433 ","$28,767,433 "
117,Rhode Island,A-10,"$28,579,307 ","$28,114,099 "
118,Kennesaw State,Atl Sun,"$28,516,561 ","$27,575,076 "
119,Northern Illinois,MAC,"$28,057,388 ","$26,483,239 "
120,New Mexico State,WAC,"$28,010,801 ","$28,011,103 "
121,Ball State,MAC,"$27,678,480 ","$27,911,602 "
122,North Dakota State,Summit,"$27,252,716 ","$27,489,584 "
123,Missouri-Kansas City,WAC,"$26,825,857 ","$12,978,814 "
124,Bowling Green,MAC,"$26,001,184 ","$25,780,900 "
125,Southern Mississippi,C-USA,"$25,687,189 ","$25,687,189 "
126,Louisiana Tech,C-USA,"$24,948,474 ","$24,910,914 "
127,Northern Arizona,Big Sky,"$23,829,909 ","$21,456,837 "
128,South Dakota State,Summit,"$23,406,082 ","$23,075,994 "
129,Montana,Big Sky,"$23,350,166 ","$22,066,048 "
130,California-Riverside,Big West,"$23,210,693 ","$24,204,996 "
131,Montana State,Big Sky,"$23,181,126 ","$23,222,276 "
132,California-Santa Barbara,Big West,"$23,118,249 ","$24,879,412 "
133,Binghamton,Am East,"$23,086,827 ","$21,806,087 "
134,Albany,Am East,"$23,074,542 ","$22,060,609 "
135,Maine,Am East,"$22,820,882 ","$22,763,763 "
136,East Tennessee State,Southern,"$22,766,270 ","$23,450,603 "
137,Vermont,Am East,"$22,722,443 ","$22,729,644 "
138,Southern Illinois,Mo. Valley,"$22,507,927 ","$31,852,498 "
139,California-Irvine,Big West,"$22,330,644 ","$22,310,597 "
140,Long Beach State,Big West,"$22,327,842 ","$22,338,314 "
141,Massachusetts-Lowell,Am East,"$21,895,994 ","$21,760,969 "
142,College of Charleston,CAA,"$21,251,949 ","$21,858,855 "
143,Nebraska-Omaha,Summit,"$20,533,164 ","$20,195,866 "
144,Northern Iowa,Mo. Valley,"$20,393,653 ","$21,739,142 "
145,California State-Fullerton,Big West,"$19,925,160 ","$19,925,160 "
146,South Dakota,Summit,"$19,924,008 ","$20,095,967 "
147,Prairie View A&M,SWAC,"$19,727,562 ","$19,493,859 "
148,Sam Houston State,Southland,"$19,210,115 ","$18,538,773 "
149,Idaho,Big Sky,"$19,200,033 ","$20,728,355 "
150,Stephen F. Austin,Southland,"$19,046,746 ","$19,120,353 "
151,Illinois-Chicago,Horizon,"$18,895,228 ","$18,456,047 "
152,California State-Northridge,Big West,"$18,831,519 ","$17,884,384 "
153,Lamar,Southland,"$18,643,064 ","$18,525,162 "
154,Jacksonville State,Ohio Valley,"$18,416,177 ","$18,416,177 "
155,Eastern Washington,Big Sky,"$18,409,766 ","$18,343,811 "
156,Murray State,Ohio Valley,"$18,313,528 ","$18,112,669 "
157,Maryland-Baltimore Cty,Am East,"$18,271,542 ","$18,715,669 "
158,North Carolina Greensboro,Southern,"$18,193,727 ","$18,211,044 "
159,Tennessee-Chattanooga,Southern,"$18,193,292 ","$18,193,292 "
160,Austin Peay,Ohio Valley,"$17,651,686 ","$17,333,844 "
161,Northern Colorado,Big Sky,"$17,597,863 ","$17,442,112 "
162,New Jersey Tech,Atl Sun,"$17,574,760 ","$17,256,398 "
163,Indiana State,Mo. Valley,"$17,405,534 ","$17,189,492 "
164,California State-Bakersfield,WAC,"$17,318,218 ","$18,351,841 "
165,Central Connecticut,Northeast,"$16,982,571 ","$16,982,568 "
166,Florida Gulf Coast,Atl Sun,"$16,517,695 ","$16,585,865 "
167,Eastern Kentucky,Ohio Valley,"$16,426,697 ","$16,426,697 "
168,Utah Valley,WAC,"$16,380,032 ","$17,084,018 "
169,Youngstown State,Horizon,"$16,206,124 ","$16,206,122 "
170,Citadel,Southern,"$16,201,634 ","$15,978,432 "
171,Texas-Arlington,Sun Belt,"$16,035,977 ","$17,371,036 "
172,Texas-Rio Grande Valley,WAC,"$16,004,761 ","$15,788,685 "
173,North Carolina Wilmington,CAA,"$15,902,957 ","$16,248,450 "
174,Wisconsin-Milwaukee,Horizon,"$15,826,484 ","$14,409,939 "
175,North Carolina A&T,MEAC,"$15,804,026 ","$15,392,865 "
176,Oakland,Horizon,"$15,797,739 ","$15,910,572 "
177,Northern Kentucky,Horizon,"$15,761,296 ","$15,841,015 "
178,Louisiana-Monroe,Sun Belt,"$15,568,952 ","$16,927,856 "
179,Southern Utah,Big Sky,"$15,412,859 ","$15,883,487 "
180,Weber State,Big Sky,"$15,038,280 ","$15,011,072 "
181,Southern,SWAC,"$15,021,312 ","$15,086,644 "
182,Portland State,Big Sky,"$14,987,694 ","$12,015,314 "
183,Western Carolina,Southern,"$14,882,283 ","$13,920,437 "
184,VMI,Southern,"$14,812,966 ","$13,924,452 "
185,North Carolina Central,MEAC,"$14,674,930 ","$14,674,930 "
186,Tennessee Tech,Ohio Valley,"$14,553,628 ","$14,399,170 "
187,Central Arkansas,Southland,"$14,224,103 ","$14,033,712 "
188,Texas A&M-Corpus Christi,Southland,"$14,179,273 ","$14,168,811 "
189,Delaware State,MEAC,"$14,098,765 ","$14,098,765 "
190,Tennessee-Martin,Ohio Valley,"$14,021,155 ","$14,021,155 "
191,Southeastern Louisiana,Southland,"$13,929,421 ","$13,877,580 "
192,Norfolk State,MEAC,"$13,728,299 ","$13,728,299 "
193,Alabama State,SWAC,"$13,429,886 ","$13,443,801 "
194,Cleveland State,Horizon,"$13,400,944 ","$13,400,944 "
195,Southeast Missouri State,Ohio Valley,"$13,336,997 ","$12,907,418 "
196,North Florida,Atl Sun,"$13,259,614 ","$13,042,501 "
197,Northwestern State La,Southland,"$13,256,529 ","$13,006,719 "
198,Idaho State,Big Sky,"$13,164,723 ","$14,144,273 "
199,Arkansas-Little Rock,Sun Belt,"$13,070,393 ","$13,132,498 "
200,Winthrop,Big South,"$12,833,867 ","$13,799,838 "
201,McNeese State,Southland,"$12,677,635 ","$12,682,134 "
202,Radford,Big South,"$12,635,147 ","$13,046,363 "
203,Wright State,Horizon,"$12,400,904 ","$12,370,379 "
204,Texas Southern,SWAC,"$12,004,497 ","$12,004,497 "
205,Purdue Fort Wayne,Summit,"$11,660,624 ","$12,491,545 "
206,Wisconsin-Green Bay,Horizon,"$11,630,591 ","$9,847,376 "
207,Morehead State,Ohio Valley,"$11,603,133 ","$11,603,133 "
208,Tennessee State,Ohio Valley,"$11,583,919 ","$11,981,330 "
209,Longwood,Big South,"$11,372,937 ","$11,876,279 "
210,Eastern Illinois,Ohio Valley,"$11,347,747 ","$12,861,144 "
211,Florida A&M,MEAC,"$11,205,406 ","$11,205,406 "
212,Indiana-Purdue Indianapolis,Horizon,"$10,910,373 ","$10,889,513 "
213,Morgan State,MEAC,"$10,892,595 ","$14,146,441 "
