x,school,conf,sport,state,gsr,fgr,School
2012,Abilene Christian,Southland Conference,Football,TX,70,47,Air Force
2012,Akron,Mid-American Conference,Football,OH,75,61,Akron
2012,Alabama A&M,Southwestern Athletic Conf.,Football,AL,59,49,Alabama
2012,Alabama State,Southwestern Athletic Conf.,Football,AL,58,39,Alabama at Birmingham
2012,Alabama,Southeastern Conference,Football,AL,85,65,Appalachian State
2012,Alabama at Birmingham,Conference USA,Football,AL,71,51,Arizona
2012,University at Albany,Colonial Athletic Association,Football,NY,88,63,Arizona State
2012,Alcorn State,Southwestern Athletic Conf.,Football,MS,58,40,Arkansas
2012,Appalachian State,Sun Belt Conference,Football,NC,75,67,Arkansas State
2012,Arizona State,Pac-12 Conference,Football,AZ,75,60,Army
2012,Arizona,Pac-12 Conference,Football,AZ,76,58,Auburn
2012,Arizona State,Sun Belt Conference,Football,AR,80,62,Ball State
2012,Arkansas,Southeastern Conference,Football,AR,67,47,Baylor
2012,Auburn,Southeastern Conference,Football,AL,76,67,Boise State
2012,Austin Peay State,Ohio Valley Conference,Football,TN,72,63,Boston College
2012,Ball State,Mid-American Conference,Football,IN,73,63,Bowling Green
2012,Charleston Southern,Big South Conference,Football,SC,59,48,Brigham Young
2012,Baylor,Big 12 Conference,Football,TX,90,61,Buffalo
2012,Bethune-Cookman,Mid-Eastern Athletic Conf.,Football,FL,66,49,California
2012,Boise State,Mountain West Conference,Football,ID,87,63,Central Florida
2012,Boston College,Atlantic Coast Conference,Football,MA,90,81,Central Michigan
2012,Bowling Green,Mid-American Conference,Football,OH,80,69,Charlotte
2012,Brigham Young,Independent,Football,UT,64,43,Cincinnati
2012,Brown,The Ivy League,Football,RI,95,,Clemson
2012,Bryant,Northeast Conference,Football,RI,92,77,Coastal Carolina
2012,Bucknell,Patriot League,Football,PA,91,78,Colorado
2012,Buffalo,Mid-American Conference,Football,NY,79,64,Colorado State
2012,Butler,Pioneer Football League,Football,IN,85,,Connecticut
2012,California Polytechnic State,Big Sky Conference,Football,CA,73,70,Duke
2012,"California State, Fresno",Mountain West Conference,Football,CA,78,65,East Carolina
2012,"California State, Sacramento",Big Sky Conference,Football,CA,57,32,Eastern Michigan
2012,California,Pac-12 Conference,Football,CA,75,62,Florida
2012,"University of California, Davis",Big Sky Conference,Football,CA,85,86,Florida Atlantic
2012,"University of California, Los Angeles",Pac-12 Conference,Football,CA,86,70,Florida International
2012,Campbell,Big South Conference,Football,NC,91,70,Florida State
2012,Central Connecticut State,Northeast Conference,Football,CT,66,54,Fresno State
2012,Central Florida,American Athletic Conference,Football,FL,84,64,Georgia
2012,Central Michigan,Mid-American Conference,Football,MI,77,64,Georgia Southern
2012,Cincinnati,American Athletic Conference,Football,OH,85,65,Georgia State
2012,The Citadel,Southern Conference,Football,SC,87,69,Georgia Tech
2012,Clemson,Atlantic Coast Conference,Football,SC,81,61,Hawaii
2012,Coastal Carolina,Sun Belt Conference,Football,SC,79,59,Houston
2012,Colgate,Patriot League,Football,NY,91,80,Illinois
2012,Colorado State,Mountain West Conference,Football,CO,77,68,Indiana
2012,"University of Colorado, Boulder",Pac-12 Conference,Football,CO,83,55,Iowa
